Rank,Score,Date
1,10807,2025-06-15 14:39:36
2,9134,2025-06-15 15:59:15
3,612,2025-06-15 16:02:56
4,14533,2025-06-16 18:51:40
5,1714,2025-06-16 18:57:13
6,6666,2025-06-16 20:22:42
